Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HoursWorkedPerDay,IncomePerJobLevel,TotalIncomeOverYears,PromotionToYearsRatio,AvgTenurePerJobRole,AvgSatisfaction,WorkLifeSatisfaction,StartedAtCompany,ProportionCareerAtCompany
50.0,No,Travel_Rarely,1126.0,Research & Development,1.0,2,Medical,4,Male,66,3,4,Research Director,4,Divorced,17399,6615,9,No,22,4,3,2,32,1,2,5,4,1,3,17.060606060606062,4349.75,1043940,0.1666666666666666,11.330985915492958,3.6666666666666665,3.333333333333333,0,0.1515151515151515
36.0,No,Travel_Rarely,216.0,Research & Development,6.0,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,No,20,4,4,3,7,0,3,3,2,0,1,2.571428571428572,2470.5,177876,0.0,7.720833333333333,2.6666666666666665,2.333333333333333,0,0.375
50.0,No,Travel_Frequently,1246.0,Human Resources,7.0,3,Medical,1,Male,99,3,5,Manager,2,Married,18200,7999,1,No,11,3,3,2,32,2,3,32,5,10,7,12.585858585858588,3640.0,6988800,0.303030303030303,14.108571428571429,2.0,2.0,1,0.9696969696969696
52.0,No,Travel_Rarely,994.0,Research & Development,7.0,4,Life Sciences,2,Male,87,3,3,Healthcare Representative,2,Single,10445,15322,7,No,19,3,4,1,18,4,3,8,6,4,0,11.42528735632184,3481.6666666666665,1002720,0.4444444444444444,8.186363636363636,2.6666666666666665,2.333333333333333,0,0.4210526315789473
47.0,No,Travel_Rarely,1001.0,Research & Development,4.0,3,Life Sciences,3,Female,92,2,3,Manufacturing Director,2,Divorced,10333,19271,8,Yes,12,3,3,2,28,4,3,22,11,14,10,10.880434782608695,3444.333333333333,2727912,0.6086956521739131,7.720833333333333,2.6666666666666665,2.6666666666666665,0,0.7586206896551724
22.0,No,Travel_Rarely,1230.0,Research & Development,1.0,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,No,22,4,1,3,4,2,1,2,2,2,2,24.0,2387.5,114600,0.6666666666666666,7.720833333333333,3.0,3.0,0,0.4
33.0,No,Non-Travel,530.0,Sales,16.0,3,Life Sciences,3,Female,36,3,2,Sales Executive,4,Divorced,5368,16130,1,Yes,25,4,3,2,7,2,3,6,5,1,2,14.72222222222222,2684.0,386496,0.1428571428571428,7.493554327808471,3.333333333333333,3.333333333333333,0,0.75
40.0,No,Travel_Rarely,630.0,Sales,4.0,4,Marketing,3,Male,67,2,3,Sales Executive,4,Married,10855,8552,7,No,11,3,1,2,15,2,2,12,11,2,11,9.402985074626866,3618.3333333333335,1563120,0.1538461538461538,7.493554327808471,2.6666666666666665,3.0,0,0.75
27.0,No,Travel_Frequently,793.0,Sales,2.0,1,Life Sciences,4,Male,43,1,2,Sales Executive,4,Single,5071,20392,3,No,20,4,2,1,8,3,3,6,2,0,0,18.44186046511628,2535.5,365112,0.0,7.493554327808471,3.333333333333333,3.6666666666666665,0,0.6666666666666666
40.0,No,Travel_Rarely,543.0,Research & Development,1.0,4,Life Sciences,1,Male,83,3,1,Laboratory Technician,4,Married,2406,4060,8,No,19,3,3,3,8,3,2,1,0,0,0,6.542168674698795,2406.0,28872,0.0,4.938356164383562,2.6666666666666665,2.333333333333333,0,0.1111111111111111
