Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HoursWorkedPerDay,IncomePerJobLevel,TotalIncomeOverYears,PromotionToYearsRatio,AvgTenurePerJobRole,AvgSatisfaction,WorkLifeSatisfaction,StartedAtCompany,ProportionCareerAtCompany
21.0,Yes,Travel_Rarely,337.0,Sales,7.0,1,Marketing,2,Male,31,3,1,Sales Representative,2,Single,2679,4567,1,No,13,3,2,1,1,3,3,1,0,1,0,10.870967741935484,2679.0,32148,0.5,2.8456375838926173,2.0,2.333333333333333,1,0.5
33.0,Yes,Travel_Rarely,1277.0,Research & Development,15.0,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,1,15,2,4,7,6,7,7,22.803571428571427,4536.666666666667,1143240,0.875,14.108571428571429,3.0,3.0,0,0.4375
36.0,Yes,Travel_Rarely,890.0,Research & Development,2.0,4,Medical,3,Male,46,3,1,Research Scientist,3,Single,4382,16374,6,No,17,3,4,1,5,3,2,2,2,2,1,19.347826086956523,4382.0,105168,0.6666666666666666,5.142292490118577,3.333333333333333,2.6666666666666665,0,0.3333333333333333
33.0,Yes,Travel_Rarely,1017.0,Research & Development,25.0,3,Medical,1,Male,55,2,1,Research Scientist,2,Single,2313,2993,4,Yes,20,4,2,1,5,0,3,2,2,2,2,18.49090909090909,2313.0,55512,0.6666666666666666,5.142292490118577,1.6666666666666667,2.0,0,0.3333333333333333
37.0,Yes,Travel_Rarely,625.0,Sales,1.0,4,Life Sciences,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,No,11,3,3,1,17,2,1,14,1,11,7,13.58695652173913,3536.333333333333,1782312,0.7333333333333333,7.493554327808471,2.333333333333333,1.6666666666666667,0,0.7777777777777778
36.0,Yes,Travel_Frequently,289.0,Research & Development,2.0,2,Medical,3,Male,38,2,1,Laboratory Technician,1,Single,2561,5355,7,No,11,3,3,1,8,2,2,0,0,0,0,7.605263157894737,2561.0,0,0.0,4.938356164383562,2.333333333333333,2.0,0,0.0
36.0,Yes,Travel_Frequently,887.0,Research & Development,7.0,2,Medical,3,Female,88,2,1,Research Scientist,3,Married,2366,20898,1,Yes,14,3,1,2,8,2,3,8,7,1,7,10.079545454545457,2366.0,227136,0.1111111111111111,5.142292490118577,2.333333333333333,3.0,1,0.8888888888888888
23.0,Yes,Travel_Rarely,1243.0,Research & Development,6.0,3,Life Sciences,3,Male,63,4,1,Laboratory Technician,1,Married,1601,3445,1,Yes,21,4,3,3,1,2,3,0,0,0,0,19.73015873015873,1601.0,0,0.0,4.938356164383562,2.333333333333333,2.333333333333333,0,0.0
20.0,Yes,Travel_Rarely,1362.0,Research & Development,10.0,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,1009,26999,1,Yes,11,3,4,1,1,5,3,1,0,1,1,24.0,1009.0,12108,0.5,5.142292490118577,3.6666666666666665,3.333333333333333,1,0.5
44.0,Yes,Travel_Frequently,429.0,Research & Development,1.0,2,Medical,3,Male,99,3,1,Research Scientist,2,Divorced,2342,11092,1,Yes,12,3,3,4,6,2,2,5,3,2,3,4.333333333333333,2342.0,140520,0.3333333333333333,5.142292490118577,2.6666666666666665,2.333333333333333,0,0.7142857142857143
