Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50.0,No,Travel_Rarely,1126.0,Research & Development,1.0,2,Medical,4,Male,66,3,4,Research Director,4,Divorced,17399,6615,9,No,22,4,3,1,32,1,2,5,4,1,3
36.0,No,Travel_Rarely,216.0,Research & Development,6.0,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,No,20,4,4,2,7,0,3,3,2,0,1
21.0,Yes,Travel_Rarely,337.0,Sales,7.0,1,Marketing,2,Male,31,3,1,Sales Representative,2,Single,2679,4567,1,No,13,3,2,0,1,3,3,1,0,1,0
50.0,No,Travel_Frequently,1246.0,Human Resources,7.0,3,Medical,1,Male,99,3,5,Manager,2,Married,18200,7999,1,No,11,3,3,1,32,2,3,32,5,10,7
52.0,No,Travel_Rarely,994.0,Research & Development,7.0,4,Life Sciences,2,Male,87,3,3,Healthcare Representative,2,Single,10445,15322,7,No,19,3,4,0,18,4,3,8,6,4,0
33.0,Yes,Travel_Rarely,1277.0,Research & Development,15.0,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7
47.0,No,Travel_Rarely,1001.0,Research & Development,4.0,3,Life Sciences,3,Female,92,2,3,Manufacturing Director,2,Divorced,10333,19271,8,Yes,12,3,3,1,28,4,3,22,11,14,10
22.0,No,Travel_Rarely,1230.0,Research & Development,1.0,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,No,22,4,1,2,4,2,1,2,2,2,2
36.0,Yes,Travel_Rarely,890.0,Research & Development,2.0,4,Medical,3,Male,46,3,1,Research Scientist,3,Single,4382,16374,6,No,17,3,4,0,5,3,2,2,2,2,1
33.0,No,Non-Travel,530.0,Sales,16.0,3,Life Sciences,3,Female,36,3,2,Sales Executive,4,Divorced,5368,16130,1,Yes,25,4,3,1,7,2,3,6,5,1,2
40.0,No,Travel_Rarely,630.0,Sales,4.0,4,Marketing,3,Male,67,2,3,Sales Executive,4,Married,10855,8552,7,No,11,3,1,1,15,2,2,12,11,2,11
27.0,No,Travel_Frequently,793.0,Sales,2.0,1,Life Sciences,4,Male,43,1,2,Sales Executive,4,Single,5071,20392,3,No,20,4,2,0,8,3,3,6,2,0,0
40.0,No,Travel_Rarely,543.0,Research & Development,1.0,4,Life Sciences,1,Male,83,3,1,Laboratory Technician,4,Married,2406,4060,8,No,19,3,3,2,8,3,2,1,0,0,0
55.0,No,Travel_Frequently,1091.0,Research & Development,2.0,1,Life Sciences,4,Male,65,3,3,Manufacturing Director,2,Married,10976,15813,3,No,18,3,2,1,23,4,3,3,2,1,2
33.0,Yes,Travel_Rarely,1017.0,Research & Development,25.0,3,Medical,1,Male,55,2,1,Research Scientist,2,Single,2313,2993,4,Yes,20,4,2,0,5,0,3,2,2,2,2
37.0,Yes,Travel_Rarely,625.0,Sales,1.0,4,Life Sciences,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,No,11,3,3,0,17,2,1,14,1,11,7
34.0,No,Travel_Rarely,511.0,Sales,7.0,2,Life Sciences,4,Female,32,1,2,Sales Executive,4,Single,6029,25353,5,No,12,3,1,0,6,3,3,2,2,2,2
46.0,No,Travel_Rarely,168.0,Sales,4.0,2,Marketing,4,Female,33,2,5,Manager,2,Married,18789,9946,2,No,14,3,3,1,26,2,3,11,4,0,8
38.0,No,Travel_Rarely,1245.0,Sales,14.0,3,Life Sciences,3,Male,80,3,2,Sales Executive,2,Married,9924,12355,1,No,11,3,4,1,10,3,3,9,8,7,7
30.0,No,Travel_Rarely,1138.0,Research & Development,6.0,3,Technical Degree,1,Female,48,2,2,Laboratory Technician,4,Married,4627,23631,1,No,12,3,1,1,10,6,3,9,2,6,7
34.0,No,Travel_Rarely,829.0,Human Resources,7.0,2,Human Resources,3,Male,88,3,1,Human Resources,4,Married,3737,2243,1,No,19,3,3,1,4,1,1,3,2,0,2
34.0,No,Travel_Rarely,1130.0,Research & Development,7.0,3,Life Sciences,4,Female,66,3,2,Research Scientist,2,Divorced,5433,19332,1,No,12,3,3,1,11,2,3,11,8,7,9
36.0,No,Non-Travel,301.0,Sales,15.0,4,Marketing,4,Male,88,1,2,Sales Executive,4,Divorced,5406,10436,1,No,24,4,1,1,15,4,2,15,12,11,11
36.0,No,Travel_Rarely,1146.0,Human Resources,26.0,4,Life Sciences,3,Female,31,3,3,Human Resources,4,Single,8837,16642,1,Yes,16,3,3,0,9,2,3,9,0,1,7
36.0,No,Travel_Rarely,1276.0,Research & Development,16.0,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0
40.0,No,Travel_Rarely,611.0,Sales,7.0,4,Medical,2,Male,88,3,5,Manager,2,Single,19833,4349,1,No,14,3,2,0,21,3,2,21,8,12,8
24.0,No,Travel_Rarely,1353.0,Sales,7.0,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,1,No,21,4,1,1,4,2,2,3,2,0,2
53.0,No,Travel_Rarely,1376.0,Sales,2.0,2,Medical,3,Male,45,3,4,Manager,3,Divorced,14852,13938,6,No,13,3,3,1,22,3,4,17,13,15,2
32.0,No,Travel_Rarely,977.0,Research & Development,2.0,3,Medical,4,Male,45,3,2,Research Scientist,2,Divorced,5470,25518,1,No,13,3,3,2,10,4,2,9,5,1,6
36.0,Yes,Travel_Frequently,289.0,Research & Development,2.0,2,Medical,3,Male,38,2,1,Laboratory Technician,1,Single,2561,5355,7,No,11,3,3,0,8,2,2,0,0,0,0
55.0,No,Travel_Rarely,1229.0,Research & Development,4.0,4,Life Sciences,4,Male,30,3,2,Healthcare Representative,3,Married,4035,16143,1,Yes,16,3,2,0,4,2,3,3,2,1,2
30.0,No,Travel_Rarely,317.0,Research & Development,2.0,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2
36.0,Yes,Travel_Frequently,887.0,Research & Development,7.0,2,Medical,3,Female,88,2,1,Research Scientist,3,Married,2366,20898,1,Yes,14,3,1,1,8,2,3,8,7,1,7
23.0,Yes,Travel_Rarely,1243.0,Research & Development,6.0,3,Life Sciences,3,Male,63,4,1,Laboratory Technician,1,Married,1601,3445,1,Yes,21,4,3,2,1,2,3,0,0,0,0
51.0,No,Travel_Rarely,1169.0,Research & Development,7.0,4,Medical,2,Male,34,2,2,Manufacturing Director,3,Married,6132,13983,2,No,17,3,3,0,10,2,3,1,0,0,0
42.0,No,Travel_Rarely,932.0,Research & Development,1.0,2,Life Sciences,4,Female,43,2,2,Manufacturing Director,4,Married,6062,4051,9,Yes,13,3,4,1,8,4,3,4,3,0,2
36.0,No,Travel_Rarely,1343.0,Research & Development,27.0,1,Medical,3,Female,53,2,1,Research Scientist,1,Single,2559,17852,1,No,11,3,4,0,6,3,2,6,5,1,1
36.0,No,Travel_Rarely,802.0,Sales,1.0,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9
20.0,Yes,Travel_Rarely,1362.0,Research & Development,10.0,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,1009,26999,1,Yes,11,3,4,0,1,5,3,1,0,1,1
36.0,No,Travel_Rarely,736.0,Sales,26.0,3,Life Sciences,3,Male,48,2,2,Sales Executive,1,Married,4724,24232,1,No,11,3,3,1,5,0,3,5,3,0,4
29.0,No,Travel_Rarely,942.0,Research & Development,15.0,1,Life Sciences,2,Female,69,1,1,Research Scientist,4,Married,2168,26933,1,Yes,18,3,1,1,6,2,2,5,4,1,3
43.0,No,Travel_Rarely,982.0,Research & Development,12.0,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9
40.0,No,Travel_Frequently,902.0,Research & Development,26.0,2,Medical,3,Female,92,2,2,Research Scientist,4,Married,4422,21203,3,Yes,13,3,4,1,16,3,1,1,1,0,0
29.0,No,Travel_Rarely,1401.0,Research & Development,6.0,1,Medical,2,Female,54,3,1,Laboratory Technician,4,Married,3131,26342,1,No,13,3,1,1,10,5,3,10,8,0,8
46.0,No,Travel_Rarely,1319.0,Sales,7.0,3,Technical Degree,1,Female,45,4,4,Sales Executive,1,Divorced,13225,7739,2,No,12,3,4,1,25,5,3,19,17,2,8
44.0,Yes,Travel_Frequently,429.0,Research & Development,1.0,2,Medical,3,Male,99,3,1,Research Scientist,2,Divorced,2342,11092,1,Yes,12,3,3,3,6,2,2,5,3,2,3
47.0,No,Travel_Rarely,359.0,Research & Development,2.0,4,Medical,1,Female,82,3,4,Research Director,3,Married,17169,26703,3,No,19,3,2,2,26,2,4,20,17,5,6
32.0,No,Travel_Frequently,430.0,Research & Development,24.0,4,Life Sciences,1,Male,80,3,2,Laboratory Technician,4,Married,5309,21146,1,No,15,3,4,2,10,2,3,10,8,4,7
38.0,No,Travel_Rarely,362.0,Research & Development,1.0,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,3,No,17,3,4,0,8,3,2,0,0,0,0
51.0,No,Travel_Rarely,770.0,Human Resources,7.0,3,Life Sciences,3,Male,84,3,4,Manager,2,Divorced,14026,17588,1,Yes,11,3,2,1,33,2,3,33,9,0,10
58.0,No,Non-Travel,390.0,Research & Development,1.0,4,Life Sciences,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Yes,13,3,4,1,12,2,3,5,3,1,2
36.0,No,Travel_Rarely,195.0,Sales,1.0,3,Medical,1,Female,80,3,2,Sales Executive,3,Single,4859,6698,1,No,16,3,4,0,5,3,3,5,4,0,3
45.0,No,Travel_Rarely,1448.0,Research & Development,29.0,3,Technical Degree,2,Male,55,3,3,Manufacturing Director,4,Married,9380,14720,4,Yes,18,3,4,2,10,4,4,3,1,1,2
56.0,No,Travel_Rarely,832.0,Research & Development,9.0,3,Medical,3,Male,81,3,4,Healthcare Representative,4,Married,11103,20420,7,No,11,3,3,0,30,1,2,10,7,1,1
37.0,No,Travel_Rarely,124.0,Research & Development,7.0,3,Other,4,Female,35,3,2,Healthcare Representative,2,Single,4107,13848,3,No,15,3,1,0,8,3,2,4,3,0,1
37.0,No,Travel_Frequently,1278.0,Sales,1.0,4,Medical,3,Male,31,1,2,Sales Executive,4,Divorced,9525,7677,1,No,14,3,3,2,6,2,2,6,3,1,3
39.0,No,Travel_Rarely,903.0,Sales,2.0,5,Life Sciences,1,Male,41,4,3,Sales Executive,3,Single,7880,2560,1,No,18,3,4,0,9,3,3,8,7,0,7
36.0,No,Travel_Rarely,819.0,Research & Development,2.0,3,Life Sciences,3,Male,44,2,3,Manufacturing Director,2,Divorced,10274,19588,2,No,18,3,2,1,15,2,4,7,7,6,4
54.0,No,Travel_Rarely,1082.0,Sales,2.0,4,Life Sciences,3,Female,41,2,3,Sales Executive,3,Married,10686,8392,6,No,11,3,2,1,13,4,3,9,4,7,0
32.0,No,Non-Travel,1109.0,Research & Development,29.0,4,Medical,4,Female,69,3,1,Laboratory Technician,3,Single,4025,11135,9,No,12,3,2,0,10,2,3,8,7,7,7
48.0,No,Travel_Rarely,530.0,Sales,29.0,1,Medical,1,Female,91,3,3,Manager,3,Married,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0
33.0,No,Travel_Frequently,827.0,Research & Development,1.0,4,Other,3,Female,84,4,2,Healthcare Representative,2,Married,5488,20161,1,Yes,13,3,1,1,6,2,3,6,5,1,2
31.0,Yes,Travel_Rarely,249.0,Sales,6.0,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7
46.0,No,Travel_Rarely,802.0,Sales,1.0,2,Marketing,2,Female,92,3,3,Sales Executive,1,Divorced,10453,2137,1,No,25,4,3,3,24,2,3,24,13,15,7
